-;UtalFighter;DiceAI;LGISTBot;EggTart;TOVOR;Dora;MonkeyLinkTriplePM;IBMAI;Thunder;TeraThunder;SimpleAI;JayBot;RandomAI;KotlinTestAgent;BCP;JitwisutZen;MrTwo;JayBotGM;CYRAI;HaibuAI;YIYAI;Toothless;Thunder2021;MctsAi;FuzzyZYQAI;EmcmAi;Caselene;
UtalFighter;0;1.0;0.08;0.63;1.0;0.07;0.99;1.0;-1;0.16;0.9;0.18;1.0;0.08;0.96;0.02;0.23;0.41;0.02;1.0;1.0;0.18;0.08;0.335;1.0;0.12;0.905;
DiceAI;0.0;0;0.0;0.33;0.875;0.0;0.405;0.38;0.0;0.0;0.08;0.0;0.48;0.0;0.65;0.0;0.0;0.01;0.0;0.275;0.2;0.0;0.0;0.0;0.54;0.01;0.0;
LGISTBot;0.92;1.0;0;1.0;1.0;0.795;0.96;1.0;0.38;0.06;1.0;0.62;1.0;0.785;1.0;0.37;0.72;0.83;0.37;0.99;1.0;0.95;0.03;0.82;1.0;0.13;0.96;
EggTart;0.37;0.67;0.0;0;0.92;1.0;0.49;0.91;-1;0.0;0.86;0.08;0.55;1.0;1.0;0.0;0.0;0.0;0.0;0.87;0.53;0.0;0.0;0.23;0.81;0.08;0.23;
TOVOR;0.0;0.125;0.0;0.08;0;0.0;0.15;0.08;0.0;0.0;0.01;0.0;0.45;0.0;0.23;0.0;0.0;0.0;0.0;0.055;0.03;0.0;0.0;0.0;0.165;0.0;0.0;
Dora;0.93;1.0;0.205;0.0;1.0;0;1.0;1.0;0.0;0.0;0.53;0.22;1.0;0.5;1.0;0.06;0.62;0.66;0.0;1.0;1.0;0.25;0.0;0.84;1.0;0.01;0.95;
MonkeyLinkTriplePM;0.01;0.595;0.04;0.51;0.85;0.0;0;0.86;-1;0.0;0.33;0.0;0.7;0.0;1.0;0.0;0.0;0.085;0.03;0.46;0.34;0.0;0.0;0.0;0.12;0.0;0.02;
IBMAI;0.0;0.62;0.0;0.09;0.92;0.0;0.14;0;-1;0.03;0.24;0.0;0.455;0.04;0.96;0.0;0.02;0.02;0.03;0.255;0.48;0.02;0.0;0.0;0.69;0.01;0.07;
Thunder;-1;1.0;0.62;-1;1.0;1.0;-1;-1;0;0.23;1.0;-1;1.0;1.0;0.835;-1;-1;0.97;-1;1.0;1.0;-1;-1;0.9;-1;-1;-1;
TeraThunder;0.84;1.0;0.94;1.0;1.0;1.0;1.0;0.97;0.77;0;0.73;0.95;1.0;1.0;1.0;0.88;0.9;0.97;0.52;1.0;1.0;1.0;0.0;0.89;1.0;0.96;0.89;
SimpleAI;0.1;0.92;0.0;0.14;0.99;0.47;0.67;0.76;0.0;0.27;0;0.0;0.85;0.29;0.86;0.03;0.0;0.165;0.365;0.65;0.89;0.65;0.255;0.01;1.0;0.0;0.01;
JayBot;0.82;1.0;0.38;0.92;1.0;0.78;1.0;1.0;-1;0.05;1.0;0;1.0;0.75;1.0;0.33;0.58;0.88;0.51;0.995;1.0;0.62;0.1;0.72;1.0;0.34;0.94;
RandomAI;0.0;0.52;0.0;0.45;0.55;0.0;0.3;0.545;0.0;0.0;0.15;0.0;0;0.0;0.95;0.0;0.0;0.0;0.01;0.175;0.06;0.0;0.0;0.0;0.35;0.0;0.0;
KotlinTestAgent;0.92;1.0;0.215;0.0;1.0;0.5;1.0;0.96;0.0;0.0;0.71;0.25;1.0;0;1.0;0.19;0.64;0.695;0.0;1.0;1.0;0.25;0.0;0.82;1.0;0.0;0.89;
